Nomor,KP,Jumlah,Entri,Tipe,Pembentukan
13549,k,121,beringin,dasar,
13549.1,x,,[ber-:be-] + <ringin>,bentukan,[14] ber- + (r) + (-kan;-i;-an)
13549.2,x,,ber- + <ingin>,bentukan,[16] ber- + (<others>) + (-kan;-i;-an;-nya)
,,,,,
13550,k,0,beringin putih,dasar,
13550.1,x,,[ber-:be-] + <ringin putih>,bentukan,[14] ber- + (r) + (-kan;-i;-an)
13550.2,x,,ber- + <ingin putih>,bentukan,[16] ber- + (<others>) + (-kan;-i;-an;-nya)
,,,,,
13551,v,3,beringin-beringin,dasar,
13551.1,v,,<beringin> [-] <r>,bentukan,[23] [RD] |
13551.2,x,,[ber-:be-] + <ringin> [-] [ber-:be-] + <r>,bentukan,[14] ber- + (r) + (-kan;-i;-an) => [23] [RD] |
13551.3,x,,ber- + <ingin> [-] ber- + <r>,bentukan,[16] ber- + (<others>) + (-kan;-i;-an;-nya) => [23] [RD] |
,,,,,
13552,c,0,beringisan,dasar,peringis
13552.1,x,,[ber-:be-] + <ringis> + -an,bentukan,[14] ber- + (r) + (-kan;-i;-an)
13552.2,x,,[ber-:be-] + <ringisan>,bentukan,[14] ber- + (r) + (-kan;-i;-an)
13552.3,x,,ber- + <ingis> + -an,bentukan,[16] ber- + (<others>) + (-kan;-i;-an;-nya)
13552.4,x,,ber- + <ingisan>,bentukan,[16] ber- + (<others>) + (-kan;-i;-an;-nya)
13552.5,x,,<beringis> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
13553,k,0,beringkar,dasar,
13553.1,x,,[ber-:be-] + <ringkar>,bentukan,[14] ber- + (r) + (-kan;-i;-an)
13553.2,v,,ber- + <ingkar>,bentukan,[16] ber- + (<others>) + (-kan;-i;-an;-nya)
,,,,,
13554,k,0,beringsang,dasar,
13554.1,x,,[ber-:be-] + <ringsang>,bentukan,[14] ber- + (r) + (-kan;-i;-an)
13554.2,x,,ber- + <ingsang>,bentukan,[16] ber- + (<others>) + (-kan;-i;-an;-nya)
,,,,,
13555,k,99,beringsut,dasar,
13555.1,x,,[ber-:be-] + <ringsut>,bentukan,[14] ber- + (r) + (-kan;-i;-an)
13555.2,v,,ber- + <ingsut>,bentukan,[16] ber- + (<others>) + (-kan;-i;-an;-nya)
,,,,,
13556,k,7,beringsut-ingsut,dasar,
13556.1,v,,ber- + <ingsut> [-] <r>,bentukan,[16] ber- + (<others>) + (-kan;-i;-an;-nya) => [27] [RD] ber-|
,,,,,
13557,k,3,beringus,dasar,
13557.1,x,,[ber-:be-] + <ringus>,bentukan,[14] ber- + (r) + (-kan;-i;-an)
13557.2,v,,ber- + <ingus>,bentukan,[16] ber- + (<others>) + (-kan;-i;-an;-nya)
,,,,,
13558,v,2,berinisal,dasar,
13558.1,x,,[ber-:be-] + <rinisal>,bentukan,[14] ber- + (r) + (-kan;-i;-an)
13558.2,v,,ber- + <inisal>,bentukan,[16] ber- + (<others>) + (-kan;-i;-an;-nya)
,,,,,
13559,v,2,berinisatif,dasar,
13559.1,x,,[ber-:be-] + <rinisatif>,bentukan,[14] ber- + (r) + (-kan;-i;-an)
13559.2,v,,ber- + <inisatif>,bentukan,[16] ber- + (<others>) + (-kan;-i;-an;-nya)
,,,,,
13560,k,97,berinisial,dasar,
13560.1,x,,[ber-:be-] + <rinisial>,bentukan,[14] ber- + (r) + (-kan;-i;-an)
13560.2,v,,ber- + <inisial>,bentukan,[16] ber- + (<others>) + (-kan;-i;-an;-nya)
,,,,,
13561,k,233,berinisiatif,dasar,
13561.1,x,,[ber-:be-] + <rinisiatif>,bentukan,[14] ber- + (r) + (-kan;-i;-an)
13561.2,v,,ber- + <inisiatif>,bentukan,[16] ber- + (<others>) + (-kan;-i;-an;-nya)
,,,,,
13562,k,0,berinkarnasi,dasar,
13562.1,x,,[ber-:be-] + <rinkarnas> + -i,bentukan,[14] ber- + (r) + (-kan;-i;-an)
13562.2,x,,[ber-:be-] + <rinkarnasi>,bentukan,[14] ber- + (r) + (-kan;-i;-an)
13562.3,x,,ber- + <inkarnas> + -i,bentukan,[16] ber- + (<others>) + (-kan;-i;-an;-nya)
13562.4,v,,ber- + <inkarnasi>,bentukan,[16] ber- + (<others>) + (-kan;-i;-an;-nya)
13562.5,x,,<berinkarnas> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
13563,k,228,berinovasi,dasar,
13563.1,x,,[ber-:be-] + <rinovas> + -i,bentukan,[14] ber- + (r) + (-kan;-i;-an)
13563.2,x,,[ber-:be-] + <rinovasi>,bentukan,[14] ber- + (r) + (-kan;-i;-an)
13563.3,x,,ber- + <inovas> + -i,bentukan,[16] ber- + (<others>) + (-kan;-i;-an;-nya)
13563.4,v,,ber- + <inovasi>,bentukan,[16] ber- + (<others>) + (-kan;-i;-an;-nya)
13563.5,x,,<berinovas> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
13564,k,0,berinsang,dasar,
13564.1,x,,[ber-:be-] + <rinsang>,bentukan,[14] ber- + (r) + (-kan;-i;-an)
13564.2,v,,ber- + <insang>,bentukan,[16] ber- + (<others>) + (-kan;-i;-an;-nya)
,,,,,
13565,v,4,berinsektisida,dasar,
13565.1,x,,[ber-:be-] + <rinsektisida>,bentukan,[14] ber- + (r) + (-kan;-i;-an)
13565.2,v,,ber- + <insektisida>,bentukan,[16] ber- + (<others>) + (-kan;-i;-an;-nya)
,,,,,
13566,x,3,berinsiatif,dasar,
13566.1,x,,[ber-:be-] + <rinsiatif>,bentukan,[14] ber- + (r) + (-kan;-i;-an)
13566.2,x,,ber- + <insiatif>,bentukan,[16] ber- + (<others>) + (-kan;-i;-an;-nya)
,,,,,
13567,k,0,berinstruksi,dasar,
13567.1,x,,[ber-:be-] + <rinstruks> + -i,bentukan,[14] ber- + (r) + (-kan;-i;-an)
13567.2,x,,[ber-:be-] + <rinstruksi>,bentukan,[14] ber- + (r) + (-kan;-i;-an)
13567.3,x,,ber- + <instruks> + -i,bentukan,[16] ber- + (<others>) + (-kan;-i;-an;-nya)
13567.4,v,,ber- + <instruksi>,bentukan,[16] ber- + (<others>) + (-kan;-i;-an;-nya)
13567.5,x,,<berinstruks> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
13568,k,41,berintegrasi,dasar,
13568.1,x,,[ber-:be-] + <rintegras> + -i,bentukan,[14] ber- + (r) + (-kan;-i;-an)
13568.2,x,,[ber-:be-] + <rintegrasi>,bentukan,[14] ber- + (r) + (-kan;-i;-an)
13568.3,x,,ber- + <integras> + -i,bentukan,[16] ber- + (<others>) + (-kan;-i;-an;-nya)
13568.4,v,,ber- + <integrasi>,bentukan,[16] ber- + (<others>) + (-kan;-i;-an;-nya)
13568.5,x,,<berintegras> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
13569,k,140,berintegritas,dasar,
13569.1,x,,[ber-:be-] + <rintegritas>,bentukan,[14] ber- + (r) + (-kan;-i;-an)
13569.2,v,,ber- + <integritas>,bentukan,[16] ber- + (<others>) + (-kan;-i;-an;-nya)
13569.3,x,,<berintegr> + -itas,bentukan,[205] [S] -itas + (<others>)
,,,,,
13570,k,7,berintensitas,dasar,
13570.1,x,,[ber-:be-] + <rintensitas>,bentukan,[14] ber- + (r) + (-kan;-i;-an)
13570.2,v,,ber- + <intensitas>,bentukan,[16] ber- + (<others>) + (-kan;-i;-an;-nya)
13570.3,x,,<berintens> + -itas,bentukan,[205] [S] -itas + (<others>)
,,,,,
13571,k,727,berinteraksi,dasar,
13571.1,x,,[ber-:be-] + <rinteraks> + -i,bentukan,[14] ber- + (r) + (-kan;-i;-an)
13571.2,x,,[ber-:be-] + <rinteraksi>,bentukan,[14] ber- + (r) + (-kan;-i;-an)
13571.3,x,,ber- + <interaks> + -i,bentukan,[16] ber- + (<others>) + (-kan;-i;-an;-nya)
13571.4,v,,ber- + <interaksi>,bentukan,[16] ber- + (<others>) + (-kan;-i;-an;-nya)
13571.5,x,,<berinteraks> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
13572,k,3,berinti,dasar,
13572.1,x,,[ber-:be-] + <rint> + -i,bentukan,[14] ber- + (r) + (-kan;-i;-an)
13572.2,x,,[ber-:be-] + <rinti>,bentukan,[14] ber- + (r) + (-kan;-i;-an)
13572.3,x,,ber- + <int> + -i,bentukan,[16] ber- + (<others>) + (-kan;-i;-an;-nya)
13572.4,v,,ber- + <inti>,bentukan,[16] ber- + (<others>) + (-kan;-i;-an;-nya)
13572.5,x,,<berint> + -i,bentukan,[28] [S] -i + (<all>)
,,,,,
13573,k,0,berintik-rintik,dasar,
13573.1,v,,[ber-:be-] + <rintik> [-] <r>,bentukan,[14] ber- + (r) + (-kan;-i;-an) => [27] [RD] ber-|
,,,,,
13574,k,24,berintikan,dasar,
13574.1,x,,[ber-:be-] + <rinti> + -kan,bentukan,[14] ber- + (r) + (-kan;-i;-an)
13574.2,x,,[ber-:be-] + <rintik> + -an,bentukan,[14] ber- + (r) + (-kan;-i;-an)
13574.3,x,,[ber-:be-] + <rintikan>,bentukan,[14] ber- + (r) + (-kan;-i;-an)
13574.4,v,,ber- + <inti> + -kan,bentukan,[16] ber- + (<others>) + (-kan;-i;-an;-nya)
13574.5,x,,ber- + <intik> + -an,bentukan,[16] ber- + (<others>) + (-kan;-i;-an;-nya)
13574.6,x,,ber- + <intikan>,bentukan,[16] ber- + (<others>) + (-kan;-i;-an;-nya)
13574.7,x,,<berinti> + -kan,bentukan,[29] [S] -kan + (<all>)
13574.8,x,,<berintik> + -an,bentukan,[38] [S] -an + (<all>)
,,,,,
13575,k,0,berintim-intim,dasar,
13575.1,v,,ber- + <intim> [-] <r>,bentukan,[16] ber- + (<others>) + (-kan;-i;-an;-nya) => [27] [RD] ber-|
,,,,,
13576,k,11,berintrospeksi,dasar,
