Nomor,KP,Jumlah,Entri,Tipe,Pembentukan,
26992,v,21,diintip,dasar,,
26992.1,v,,di- + <intip>,bentukan,[37] di- + (<all>) + (-i;-kan),
,,,,,,
26993,v,6,diintroduksi,dasar,,
26993.1,x,,di- + <introduks> + -i,bentukan,[37] di- + (<all>) + (-i;-kan),
26993.2,v,,di- + <introduksi>,bentukan,[37] di- + (<all>) + (-i;-kan),
26993.3,x,,<diintroduks> + -i,bentukan,[28] [S] -i + (<all>),
,,,,,,
26994,v,3,diintroduksikan,dasar,,
26994.1,v,,di- + <introduksi> + -kan,bentukan,[37] di- + (<all>) + (-i;-kan),
26994.2,x,,di- + <introduksikan>,bentukan,[37] di- + (<all>) + (-i;-kan),
26994.3,x,,<diintroduksi> + -kan,bentukan,[29] [S] -kan + (<all>),
26994.4,x,,<diintroduksik> + -an,bentukan,[38] [S] -an + (<all>),
,,,,,,
26995,t,2,diintruksikan,dasar,diinstruksikan,
26995.1,x,,di- + <intruksi> + -kan,bentukan,[37] di- + (<all>) + (-i;-kan),
26995.2,x,,di- + <intruksikan>,bentukan,[37] di- + (<all>) + (-i;-kan),
26995.3,x,,<diintruksi> + -kan,bentukan,[29] [S] -kan + (<all>),
26995.4,x,,<diintruksik> + -an,bentukan,[38] [S] -an + (<all>),
,,,,,,
26996,v,5,diinvasi,dasar,,
26996.1,x,,di- + <invas> + -i,bentukan,[37] di- + (<all>) + (-i;-kan),
26996.2,v,,di- + <invasi>,bentukan,[37] di- + (<all>) + (-i;-kan),
26996.3,x,,<diinvas> + -i,bentukan,[28] [S] -i + (<all>),
,,,,,,
26997,v,12,diinventarisasi,dasar,,
26997.1,x,,di- + <inventarisas> + -i,bentukan,[37] di- + (<all>) + (-i;-kan),
26997.2,v,,di- + <inventarisasi>,bentukan,[37] di- + (<all>) + (-i;-kan),
26997.3,x,,<diinventarisas> + -i,bentukan,[28] [S] -i + (<all>),
26997.4,x,,<diinventari> + [-isasi:-sasi],bentukan,[166] [S] -isasi + (i),
26997.5,v,,<diinventaris> + [-isasi:-asi],bentukan,[167] [S] -isasi + (is),
26997.6,x,,<diinventar> + -isasi,bentukan,[169] [S] -isasi + (<others>),
,,,,,,
26998,v,2,diinventarisasikan,dasar,,
26998.1,v,,di- + <inventarisasi> + -kan,bentukan,[37] di- + (<all>) + (-i;-kan),
26998.2,x,,di- + <inventarisasikan>,bentukan,[37] di- + (<all>) + (-i;-kan),
26998.3,x,,<diinventarisasi> + -kan,bentukan,[29] [S] -kan + (<all>),
26998.4,x,,<diinventarisasik> + -an,bentukan,[38] [S] -an + (<all>),
,,,,,,
26999,v,104,diinvestasikan,dasar,,
26999.1,v,,di- + <investasi> + -kan,bentukan,[37] di- + (<all>) + (-i;-kan),
26999.2,x,,di- + <investasikan>,bentukan,[37] di- + (<all>) + (-i;-kan),
26999.3,x,,<diinvestasi> + -kan,bentukan,[29] [S] -kan + (<all>),
26999.4,x,,<diinvestasik> + -an,bentukan,[38] [S] -an + (<all>),
,,,,,,
27000,v,5,diinvestasikannya,dasar,,
27000.1,x,,di- + <investasikannya>,bentukan,[37] di- + (<all>) + (-i;-kan),
27000.2,x,,<diinvestasikan> + -nya,bentukan,[34] [SFS] -nya + (<all>),
27000.3,v,,di- + <investasi> + -kan + -nya,bentukan,[37] di- + (<all>) + (-i;-kan) => [34] [SFS] -nya + (<all>),
27000.4,x,,di- + <investasikan> + -nya,bentukan,[37] di- + (<all>) + (-i;-kan) => [34] [SFS] -nya + (<all>),
27000.5,x,,<diinvestasi> + -kan + -nya,bentukan,[29] [S] -kan + (<all>) => [34] [SFS] -nya + (<all>),
27000.6,x,,<diinvestasik> + -an + -nya,bentukan,[38] [S] -an + (<all>) => [34] [SFS] -nya + (<all>),
,,,,,,
27001,v,30,diinvestigasi,dasar,,
27001.1,x,,di- + <investigas> + -i,bentukan,[37] di- + (<all>) + (-i;-kan),
27001.2,v,,di- + <investigasi>,bentukan,[37] di- + (<all>) + (-i;-kan),
27001.3,x,,<diinvestigas> + -i,bentukan,[28] [S] -i + (<all>),
,,,,,,
27002,v,483,diiringi,dasar,,
27002.1,v,,di- + <iring> + -i,bentukan,[37] di- + (<all>) + (-i;-kan),
27002.2,x,,di- + <iringi>,bentukan,[37] di- + (<all>) + (-i;-kan),
27002.3,x,,<diiring> + -i,bentukan,[28] [S] -i + (<all>),
,,,,,,
27003,v,2,diiringinya,dasar,,
27003.1,x,,di- + <iringinya>,bentukan,[37] di- + (<all>) + (-i;-kan),
27003.2,x,,<diiringi> + -nya,bentukan,[34] [SFS] -nya + (<all>),
27003.3,v,,di- + <iring> + -i + -nya,bentukan,[37] di- + (<all>) + (-i;-kan) => [34] [SFS] -nya + (<all>),
27003.4,x,,di- + <iringi> + -nya,bentukan,[37] di- + (<all>) + (-i;-kan) => [34] [SFS] -nya + (<all>),
27003.5,x,,<diiring> + -i + -nya,bentukan,[28] [S] -i + (<all>) => [34] [SFS] -nya + (<all>),
,,,,,,
27004,v,6,diiringkan,dasar,,
27004.1,v,,di- + <iring> + -kan,bentukan,[37] di- + (<all>) + (-i;-kan),
27004.2,x,,di- + <iringkan>,bentukan,[37] di- + (<all>) + (-i;-kan),
27004.3,x,,<diiring> + -kan,bentukan,[29] [S] -kan + (<all>),
27004.4,x,,<diiringk> + -an,bentukan,[38] [S] -an + (<all>),
,,,,,,
27005,v,34,diiris,dasar,,
27005.1,v,,di- + <iris>,bentukan,[37] di- + (<all>) + (-i;-kan),
27005.2,x,,<diiri> + [-is:-s],bentukan,[177] [S] -is + (i),
27005.3,x,,<diir> + -is,bentukan,[178] [S] -is + (<others>),
,,,,,,
27006,v,16,diiris-iris,dasar,,
27006.1,v,,di- + <iris> [-] <r>,bentukan,[37] di- + (<all>) + (-i;-kan) => [39] [RD] di-|,
,,,,,,
27007,v,2,diirit,dasar,,
27007.1,v,,di- + <irit>,bentukan,[37] di- + (<all>) + (-i;-kan),
,,,,,,
27008,v,2,diirit-irit,dasar,,
27008.1,v,,di- + <irit> [-] <r>,bentukan,[37] di- + (<all>) + (-i;-kan) => [39] [RD] di-|,
,,,,,,
27009,v,42,diisap,dasar,,
27009.1,v,,di- + <isap>,bentukan,[37] di- + (<all>) + (-i;-kan),
,,,,,,
27010,v,14,diisapnya,dasar,,
27010.1,x,,di- + <isapnya>,bentukan,[37] di- + (<all>) + (-i;-kan),
27010.2,x,,<diisap> + -nya,bentukan,[34] [SFS] -nya + (<all>),
27010.3,v,,di- + <isap> + -nya,bentukan,[37] di- + (<all>) + (-i;-kan) => [34] [SFS] -nya + (<all>),
,,,,,,
27011,v,1288,diisi,dasar,,
27011.1,x,,di- + <is> + -i,bentukan,[37] di- + (<all>) + (-i;-kan),
27011.2,v,,di- + <isi>,bentukan,[37] di- + (<all>) + (-i;-kan),
27011.3,x,,<diis> + -i,bentukan,[28] [S] -i + (<all>),
,,,,,,
27012,v,37,diisikan,dasar,,
27012.1,v,,di- + <isi> + -kan,bentukan,[37] di- + (<all>) + (-i;-kan),
27012.2,x,,di- + <isikan>,bentukan,[37] di- + (<all>) + (-i;-kan),
27012.3,x,,<diisi> + -kan,bentukan,[29] [S] -kan + (<all>),
27012.4,x,,<diisik> + -an,bentukan,[38] [S] -an + (<all>),
,,,,,,
27013,v,8,diisinya,dasar,,
27013.1,x,,di- + <isinya>,bentukan,[37] di- + (<all>) + (-i;-kan),
27013.2,x,,<diisi> + -nya,bentukan,[34] [SFS] -nya + (<all>),
27013.3,x,,di- + <is> + -i + -nya,bentukan,[37] di- + (<all>) + (-i;-kan) => [34] [SFS] -nya + (<all>),
27013.4,v,,di- + <isi> + -nya,bentukan,[37] di- + (<all>) + (-i;-kan) => [34] [SFS] -nya + (<all>),
27013.5,x,,<diis> + -i + -nya,bentukan,[28] [S] -i + (<all>) => [34] [SFS] -nya + (<all>),
,,,,,,
27014,v,8,diislamkan,dasar,,
27014.1,v,,di- + <islam> + -kan,bentukan,[37] di- + (<all>) + (-i;-kan),
27014.2,x,,di- + <islamkan>,bentukan,[37] di- + (<all>) + (-i;-kan),
27014.3,x,,<diislam> + -kan,bentukan,[29] [S] -kan + (<all>),
27014.4,x,,<diislamk> + -an,bentukan,[38] [S] -an + (<all>),
,,,,,,
27015,v,148,diisolasi,dasar,,
27015.1,x,,di- + <isolas> + -i,bentukan,[37] di- + (<all>) + (-i;-kan),
27015.2,v,,di- + <isolasi>,bentukan,[37] di- + (<all>) + (-i;-kan),
27015.3,x,,<diisolas> + -i,bentukan,[28] [S] -i + (<all>),
,,,,,,
27016,t,4,diisolir,dasar,diisolasi,
27016.1,x,,di- + <isolir>,bentukan,[37] di- + (<all>) + (-i;-kan),
,,,,,,
27017,v,2,diistikmalkan,dasar,,
27017.1,v,,di- + <istikmal> + -kan,bentukan,[37] di- + (<all>) + (-i;-kan),
27017.2,x,,di- + <istikmalkan>,bentukan,[37] di- + (<all>) + (-i;-kan),
27017.3,x,,<diistikmal> + -kan,bentukan,[29] [S] -kan + (<all>),
27017.4,x,,<diistikmalk> + -an,bentukan,[38] [S] -an + (<all>),
,,,,,,
27018,v,80,diistilahkan,dasar,,
