Nomor,KP,Jumlah,Entri,Tipe,Pembentukan,,
39754,k,0,hak opstal,dasar,,,
,,,,,,,
39755,k,0,hak pakai,dasar,,,
39755.1,x,,<hak paka> + -i,bentukan,[28] [S] -i + (<all>),,
,,,,,,,
39756,k,0,hak paten,dasar,,,
,,,,,,,
39757,k,0,hak penerbitan,dasar,,,
39757.1,x,,<hak penerbit> + -an,bentukan,[38] [S] -an + (<all>),,
,,,,,,,
39758,k,0,hak pengarang,dasar,,,
,,,,,,,
39759,d,0,hak pengelolaan,dasar,,,
39759.1,x,,<hak pengelola> + -an,bentukan,[38] [S] -an + (<all>),,
,,,,,,,
39760,k,0,hak pengusahaan hutan,dasar,,,
39760.1,x,,<hak pengusahaan hut> + -an,bentukan,[38] [S] -an + (<all>),,
,,,,,,,
39761,k,0,hak pertuanan,dasar,,,
39761.1,x,,<hak pertuan> + -an,bentukan,[38] [S] -an + (<all>),,
,,,,,,,
39762,k,0,hak peserta,dasar,,,
,,,,,,,
39763,d,0,hak petugas,dasar,,,
,,,,,,,
39764,k,0,hak pilih,dasar,,,
,,,,,,,
39765,k,0,hak pilih aktif,dasar,,,
,,,,,,,
39766,k,0,hak pilih pasif,dasar,,,
,,,,,,,
39767,k,0,hak preferensi,dasar,,,
39767.1,x,,<hak preferens> + -i,bentukan,[28] [S] -i + (<all>),,
,,,,,,,
39768,k,0,hak prerogatif,dasar,,,
,,,,,,,
39769,k,0,hak pribadi,dasar,,,
39769.1,x,,<hak pribad> + -i,bentukan,[28] [S] -i + (<all>),,
,,,,,,,
39770,d,0,hak publik,dasar,,,
,,,,,,,
39771,k,0,hak purba,dasar,,,
,,,,,,,
39772,k,0,hak rantau,dasar,,,
,,,,,,,
39773,k,0,hak repudiasi,dasar,,,
39773.1,x,,<hak repudias> + -i,bentukan,[28] [S] -i + (<all>),,
,,,,,,,
39774,k,0,hak siar,dasar,,,
,,,,,,,
39775,k,0,hak suara,dasar,,,
,,,,,,,
39776,k,0,hak substantif,dasar,,,
,,,,,,,
39777,k,0,hak tanggungan,dasar,,,
39777.1,x,,<hak tanggung> + -an,bentukan,[38] [S] -an + (<all>),,
,,,,,,,
39778,k,0,hak temurun,dasar,,,
,,,,,,,
39779,k,0,hak terbit,dasar,,,
,,,,,,,
39780,k,0,hak tolak,dasar,,,
,,,,,,,
39781,k,0,hak uji,dasar,,,
39781.1,x,,<hak uj> + -i,bentukan,[28] [S] -i + (<all>),,
,,,,,,,
39782,k,0,hak ulayat,dasar,,,
,,,,,,,
39783,k,0,hak usaha,dasar,,,
,,,,,,,
39784,k,0,hak veto,dasar,,,
,,,,,,,
39785,k,0,hak wilayat,dasar,,,
,,,,,,,
39786,v,738,hak-hak,dasar,,,
39786.1,v,,<hak> [-] <r>,bentukan,[23] [RD] |,,
,,,,,,,
39787,d,0,hak-hak mereka,dasar,,,
,,,,,,,
39788,d,0,hak-hak politik,dasar,,,
,,,,,,,
39789,v,2,hak-hakmu,dasar,,,
39789.1,x,,<hak-hak> + -mu,bentukan,[33] [SFS] -mu + (<all>),,
39789.2,v,,<hak> [-] <r> + -mu,bentukan,[23] [RD] | => [33] [SFS] -mu + (<all>),,
,,,,,,,
39790,v,107,hak-haknya,dasar,,,
39790.1,x,,<hak> [-] <r> + -nya,bentukan,[23] [RD] |,,
39790.2,v,,<hak> [-] <r> + -nya,bentukan,[23] [RD] | => [34] [SFS] -nya + (<all>),,
,,,,,,,
39791,k,3,haka,dasar,,,
,,,,,,,
39792,k,0,haka fina,dasar,,,
,,,,,,,
39793,k,0,hakaik,dasar,,,
,,,,,,,
39794,k,11,hakam,dasar,,,
,,,,,,,
39795,c,68,hakekat,dasar,hakikat,,
,,,,,,,
39796,t,105,hakekatnya,dasar,hakikatnya,,
39796.1,v,,<hakekat> + -nya,bentukan,[34] [SFS] -nya + (<all>),,
,,,,,,,
39797,v,25,haki,dasar,,,
39797.1,v,,<hak> + -i,bentukan,[28] [S] -i + (<all>),,
,,,,,,,
39798,k,247,hakikat,dasar,,,
,,,,,,,
39799,v,305,hakikatnya,dasar,,,
39799.1,v,,<hakikat> + -nya,bentukan,[34] [SFS] -nya + (<all>),,
,,,,,,,
39800,k,121,hakiki,dasar,,,
39800.1,x,,<hakik> + -i,bentukan,[28] [S] -i + (<all>),,
,,,,,,,
39801,v,5,hakikinya,dasar,,,
39801.1,v,,<hakiki> + -nya,bentukan,[34] [SFS] -nya + (<all>),,
39801.2,x,,<hakik> + -i + -nya,bentukan,[28] [S] -i + (<all>) => [34] [SFS] -nya + (<all>),,
,,,,,,,
39802,k,1301,hakim,dasar,,,
,,,,,,,
39803,k,0,hakim ad hoc,dasar,,,
,,,,,,,
39804,k,0,hakim adhoc,dasar,,,
,,,,,,,
39805,k,0,hakim agung,dasar,,,
,,,,,,,
39806,k,0,hakim anak,dasar,,,
,,,,,,,
39807,k,0,hakim garis,dasar,,,
39807.1,x,,<hakim gari> + [-is:-s],bentukan,[177] [S] -is + (i),,
39807.2,x,,<hakim gar> + -is,bentukan,[178] [S] -is + (<others>),,
,,,,,,,
39808,k,0,hakim hak asasi manusia,dasar,,,
,,,,,,,
39809,k,0,hakim hak asasi manusia ad hoc,dasar,,,
,,,,,,,
39810,k,0,hakim kesalahan kaki,dasar,,,
39810.1,x,,<hakim kesalahan kak> + -i,bentukan,[28] [S] -i + (<all>),,
,,,,,,,
39811,k,0,hakim konstitusi,dasar,,,
39811.1,x,,<hakim konstitus> + -i,bentukan,[28] [S] -i + (<all>),,
,,,,,,,
39812,k,0,hakim militer,dasar,,,
,,,,,,,
39813,k,0,hakim net,dasar,,,
,,,,,,,
39814,k,0,hakim servis,dasar,,,
39814.1,x,,<hakim servi> + [-is:-s],bentukan,[177] [S] -is + (i),,
39814.2,x,,<hakim serv> + -is,bentukan,[178] [S] -is + (<others>),,
,,,,,,,
39815,v,22,hakim-hakim,dasar,,,
39815.1,v,,<hakim> [-] <r>,bentukan,[23] [RD] |,,
,,,,,,,
39816,k,0,hakimah,dasar,,,
,,,,,,,
39817,v,11,hakimi,dasar,,,
39817.1,v,,<hakim> + -i,bentukan,[28] [S] -i + (<all>),,
,,,,,,,
39818,v,14,hakimnya,dasar,,,
39818.1,v,,<hakim> + -nya,bentukan,[34] [SFS] -nya + (<all>),,
,,,,,,,
39819,v,11,hakku,dasar,,,
39819.1,v,,<hak> + -ku,bentukan,[32] [SFS] -ku + (<all>),,
,,,,,,,
39820,v,12,hakmu,dasar,,,
39820.1,v,,<hak> + -mu,bentukan,[33] [SFS] -mu + (<all>),,
,,,,,,,
39821,v,292,haknya,dasar,,,
39821.1,v,,<hak> + -nya,bentukan,[34] [SFS] -nya + (<all>),,
,,,,,,,
39822,k,0,hakpen,dasar,,,
,,,,,,,
39823,k,0,hakul adam,dasar,,,
,,,,,,,
39824,k,0,hakulah,dasar,,,
39824.1,x,,<haku> + -lah,bentukan,[31] [FS] -lah + (<all>),,
39824.2,x,,<ha> + -ku + -lah,bentukan,[32] [SFS] -ku + (<all>) => [31] [FS] -lah + (<all>),,
,,,,,,,
39825,k,0,hakulyakin,dasar,,,
,,,,,,,
39826,k,17060,hal,dasar,,,
,,,,,,,
39827,k,0,hal ahwal,dasar,,,
,,,,,,,
39828,d,0,hal baik,dasar,,,
,,,,,,,
39829,k,0,hal ihwal,dasar,,,
,,,,,,,
39830,d,0,hal ini,dasar,,,
39830.1,x,,<hal in> + -i,bentukan,[28] [S] -i + (<all>),,
,,,,,,,
39831,d,0,hal itu,dasar,,,
,,,,,,,
39832,v,2664,hal-hal,dasar,,,
39832.1,v,,<hal> [-] <r>,bentukan,[23] [RD] |,,
,,,,,,,
39833,k,7,hala,dasar,,,
,,,,,,,
39834,k,0,hala-hala,dasar,,,
39834.1,v,,<hala> [-] <r>,bentukan,[23] [RD] |,,
,,,,,,,
39835,t,14,halah,dasar,alah,,
39835.1,x,,<ha> + -lah,bentukan,[31] [FS] -lah + (<all>),,
,,,,,,,
39836,k,0,halai-balai,dasar,,,
39836.1,x,,<halai-balai>,bentukan,[Reduplication-Rhyming],,
39836.2,x,,<halai-bala> + -i,bentukan,[28] [S] -i + (<all>),,
,,,,,,,
39837,k,0,halaik,dasar,,,
,,,,,,,
39838,k,0,halakah,dasar,,,
39838.1,x,,<hala> + -kah,bentukan,[30] [FS] -kah + (<all>),,
,,,,,,,
39839,k,398,halal,dasar,,,
,,,,,,,
39840,v,8,halal-haram,dasar,,,
,,,,,,,
39841,k,10,halalbihalal,dasar,,,
,,,,,,,
39842,v,3,halalkan,dasar,,,
39842.1,v,,<halal> + -kan,bentukan,[29] [S] -kan + (<all>),,
39842.2,x,,<halalk> + -an,bentukan,[38] [S] -an + (<all>),,
,,,,,,,
39843,v,11,halalnya,dasar,,,
39843.1,v,,<halal> + -nya,bentukan,[34] [SFS] -nya + (<all>),,
,,,,,,,
39844,k,1655,halaman,dasar,,,
39844.1,x,,<halam> + -an,bentukan,[38] [S] -an + (<all>),,
,,,,,,,
39845,k,0,halaman belakang,dasar,,,
,,,,,,,
39846,k,0,halaman cetak,dasar,,,
,,,,,,,
39847,k,0,halaman depan,dasar,,,
39847.1,x,,<halaman dep> + -an,bentukan,[38] [S] -an + (<all>),,
,,,,,,,
39848,k,0,halaman judul,dasar,,,
,,,,,,,
39849,k,0,halaman kanan,dasar,,,
39849.1,x,,<halaman kan> + -an,bentukan,[38] [S] -an + (<all>),,
,,,,,,,
39850,d,0,halaman kantor,dasar,,,
,,,,,,,
39851,k,0,halaman kiri,dasar,,,
39851.1,x,,<halaman kir> + -i,bentukan,[28] [S] -i + (<all>),,
,,,,,,,
39852,k,0,halaman opini,dasar,,,
39852.1,x,,<halaman opin> + -i,bentukan,[28] [S] -i + (<all>),,
,,,,,,,
39853,k,0,halaman prancis,dasar,,,
39853.1,x,,<halaman pranci> + [-is:-s],bentukan,[177] [S] -is + (i),,
39853.2,x,,<halaman pranc> + -is,bentukan,[178] [S] -is + (<others>),,
,,,,,,,
39854,k,0,halaman setengah judul,dasar,,,
,,,,,,,
39855,v,28,halaman-halaman,dasar,,,
39855.1,v,,<halaman> [-] <r>,bentukan,[23] [RD] |,,
39855.2,x,,<halam> + -an [-] <r> + -an,bentukan,[38] [S] -an + (<all>) => [23] [RD] |,,
,,,,,,,
39856,v,6,halaman-halamannya,dasar,,,
39856.1,x,,<halaman> [-] <r> + -nya,bentukan,[23] [RD] |,,
39856.2,x,,<halam> + -an [-] <r> + -an + -nya,bentukan,[38] [S] -an + (<all>) => [23] [RD] |,,
39856.3,v,,<halaman> [-] <r> + -nya,bentukan,[23] [RD] | => [34] [SFS] -nya + (<all>),,
39856.4,x,,<halam> + -an [-] <r> + -an + -nya,bentukan,[38] [S] -an + (<all>) => [23] [RD] | => [34] [SFS] -nya + (<all>),,
,,,,,,,
39857,v,20,halamanku,dasar,,,
39857.1,v,,<halaman> + -ku,bentukan,[32] [SFS] -ku + (<all>),,
39857.2,x,,<halam> + -an + -ku,bentukan,[38] [S] -an + (<all>) => [32] [SFS] -ku + (<all>),,
,,,,,,,
39858,v,7,halamanmu,dasar,,,
39858.1,v,,<halaman> + -mu,bentukan,[33] [SFS] -mu + (<all>),,
39858.2,x,,<halam> + -an + -mu,bentukan,[38] [S] -an + (<all>) => [33] [SFS] -mu + (<all>),,
,,,,,,,
39859,v,181,halamannya,dasar,,,
39859.1,v,,<halaman> + -nya,bentukan,[34] [SFS] -nya + (<all>),,
39859.2,x,,<halam> + -an + -nya,bentukan,[38] [S] -an + (<all>) => [34] [SFS] -nya + (<all>),,
,,,,,,,
39860,k,0,halamuak,dasar,,,
,,,,,,,
39861,k,8,halang,dasar,,,
,,,,,,,
39862,k,183,halangan,dasar,,,
39862.1,v,,<halang> + -an,bentukan,[38] [S] -an + (<all>),,
,,,,,,,
39863,v,4,halangannya,dasar,,,
39863.1,x,,<halangan> + -nya,bentukan,[34] [SFS] -nya + (<all>),,
39863.2,v,,<halang> + -an + -nya,bentukan,[38] [S] -an + (<all>) => [34] [SFS] -nya + (<all>),,
,,,,,,,
39864,v,8,halangi,dasar,,,
39864.1,v,,<halang> + -i,bentukan,[28] [S] -i + (<all>),,
,,,,,,,
39865,k,0,halasa,dasar,,,
,,,,,,,
39866,k,7,halau,dasar,,,
,,,,,,,
39867,v,2,halaukan,dasar,,,
39867.1,v,,<halau> + -kan,bentukan,[29] [S] -kan + (<all>),,
39867.2,x,,<halauk> + -an,bentukan,[38] [S] -an + (<all>),,
,,,,,,,
39868,t,3,halayak,dasar,khalayak,,
,,,,,,,
39869,k,0,halazon,dasar,,,
,,,,,,,
39870,k,0,halba,dasar,,,
,,,,,,,
39871,k,0,haldap,dasar,,,
,,,,,,,
39872,k,2,haleluya,dasar,,,
,,,,,,,
39873,k,0,halentri,dasar,,,
39873.1,x,,<halentr> + -i,bentukan,[28] [S] -i + (<all>),,
,,,,,,,
39874,k,4,hali,dasar,,,
39874.1,x,,<hal> + -i,bentukan,[28] [S] -i + (<all>),,
,,,,,,,
39875,k,5,halia,dasar,,,
,,,,,,,
39876,k,7,halida,dasar,,,
,,,,,,,
39877,k,0,halifa,dasar,,,
,,,,,,,
39878,t,5,halik,dasar,khalik,,
,,,,,,,
39879,k,39,halilintar,dasar,,,
,,,,,,,
39880,k,0,halilipan,dasar,,,
39880.1,x,,<halilip> + -an,bentukan,[38] [S] -an + (<all>),,
,,,,,,,
39881,k,261,halim,dasar,,,
,,,,,,,
39882,k,0,halimbubu,dasar,,,
,,,,,,,
39883,k,20,halimun,dasar,,,
,,,,,,,
39884,k,3,halimunan,dasar,,,
39884.1,v,,<halimun> + -an,bentukan,[38] [S] -an + (<all>),,
,,,,,,,
39885,k,0,halimunen,dasar,,,
,,,,,,,
39886,k,0,halioho,dasar,,,
,,,,,,,
39887,k,0,halipan,dasar,,,
39887.1,x,,<halip> + -an,bentukan,[38] [S] -an + (<all>),,
,,,,,,,
39888,k,6,halit,dasar,,,
,,,,,,,
39889,k,0,halitosis,dasar,,,
39889.1,x,,<halitosi> + [-is:-s],bentukan,[177] [S] -is + (i),,
39889.2,x,,<halitos> + -is,bentukan,[178] [S] -is + (<others>),,
,,,,,,,
39890,k,0,haliwawar,dasar,,,
,,,,,,,
39891,k,0,halkah,dasar,,,
39891.1,v,,<hal> + -kah,bentukan,[30] [FS] -kah + (<all>),,
,,,,,,,
39892,k,2,halma,dasar,,,
,,,,,,,
39893,k,76,halmahera,dasar,,,
,,,,,,,
39894,k,0,halmirolisis,dasar,,,
39894.1,x,,<halmirolisi> + [-is:-s],bentukan,[177] [S] -is + (i),,
39894.2,x,,<halmirolis> + -is,bentukan,[178] [S] -is + (<others>),,
,,,,,,,
39895,v,1322,halnya,dasar,,,
39895.1,v,,<hal> + -nya,bentukan,[34] [SFS] -nya + (<all>),,
,,,,,,,
39896,k,127,halo,dasar,,,
,,,,,,,
39897,k,0,halo besar,dasar,,,
,,,,,,,
39898,k,0,halo bulan,dasar,,,
39898.1,x,,<halo bul> + -an,bentukan,[38] [S] -an + (<all>),,
,,,,,,,
39899,k,0,halo galaksi,dasar,,,
39899.1,x,,<halo galaks> + -i,bentukan,[28] [S] -i + (<all>),,
,,,,,,,
39900,k,0,halo matahari,dasar,,,
39900.1,x,,<halo matahar> + -i,bentukan,[28] [S] -i + (<all>),,
,,,,,,,
39901,k,0,halobion,dasar,,,
,,,,,,,
39902,k,0,halofili,dasar,,,
39902.1,x,,<halofil> + -i,bentukan,[28] [S] -i + (<all>),,
39902.2,x,,<halo> + -fili,bentukan,[193] [S] -fili + (<all>),,
,,,,,,,
39903,k,0,halofit,dasar,,,
,,,,,,,
39904,k,0,halofita,dasar,,,
,,,,,,,
39905,k,0,halofobi,dasar,,,
39905.1,x,,<halofob> + -i,bentukan,[28] [S] -i + (<all>),,
,,,,,,,
39906,k,0,haloform,dasar,,,
,,,,,,,
39907,k,34,halogen,dasar,,,
,,,,,,,
39908,k,0,halogenasi,dasar,,,
39908.1,x,,<halogenas> + -i,bentukan,[28] [S] -i + (<all>),,
,,,,,,,
39909,k,0,halogenerator,dasar,,,
,,,,,,,
39910,k,0,haloisit,dasar,,,
,,,,,,,
39911,k,0,halok,dasar,,,
,,,,,,,
39912,k,0,halokromisme,dasar,,,
39912.1,x,,<halokrom> + -isme,bentukan,[89] [S] -isme + (<all>),,
,,,,,,,
39913,k,2,halotan,dasar,,,
39913.1,x,,<halot> + -an,bentukan,[38] [S] -an + (<all>),,
,,,,,,,
39914,k,0,haloterapi,dasar,,,
39914.1,x,,<haloterap> + -i,bentukan,[28] [S] -i + (<all>),,
39914.2,x,,<halo> + -terapi,bentukan,[215] [S] -terapi + (<all>),,
,,,,,,,
39915,k,0,halsduk,dasar,,,
,,,,,,,
39916,k,118,halte,dasar,,,
,,,,,,,
39917,v,9,halte-halte,dasar,,,
39917.1,v,,<halte> [-] <r>,bentukan,[23] [RD] |,,
,,,,,,,
39918,k,0,halter,dasar,,,
,,,,,,,
39919,k,15,halu,dasar,,,
,,,,,,,
39920,k,171,haluan,dasar,,,
39920.1,v,,<halu> + -an,bentukan,[38] [S] -an + (<all>),,
,,,,,,,
39921,k,0,haluan hidup,dasar,,,
,,,,,,,
39922,k,0,haluan kata,dasar,,,
,,,,,,,
39923,k,0,haluan negara,dasar,,,
,,,,,,,
39924,k,0,haluan politik,dasar,,,
,,,,,,,
39925,v,10,haluannya,dasar,,,
39925.1,x,,<haluan> + -nya,bentukan,[34] [SFS] -nya + (<all>),,
39925.2,v,,<halu> + -an + -nya,bentukan,[38] [S] -an + (<all>) => [34] [SFS] -nya + (<all>),,
,,,,,,,
39926,k,0,haluja,dasar,,,
,,,,,,,
39927,k,0,halun,dasar,,,
,,,,,,,
39928,k,951,halus,dasar,,,
,,,,,,,
39929,k,53,halusinasi,dasar,,,
39929.1,x,,<halusinas> + -i,bentukan,[28] [S] -i + (<all>),,
,,,,,,,
39930,v,2,halusinasinya,dasar,,,
39930.1,x,,<halusinasi> + -nya,bentukan,[34] [SFS] -nya + (<all>),,
39930.2,x,,<halusinas> + -i + -nya,bentukan,[28] [S] -i + (<all>) => [34] [SFS] -nya + (<all>),,
,,,,,,,
39931,k,0,halusinatoris,dasar,,,
39931.1,x,,<halusinatori> + [-is:-s],bentukan,[177] [S] -is + (i),,
39931.2,x,,<halusinator> + -is,bentukan,[178] [S] -is + (<others>),,
,,,,,,,
39932,k,0,halusinogen,dasar,,,
,,,,,,,
39933,v,7,haluskan,dasar,,,
39933.1,v,,<halus> + -kan,bentukan,[29] [S] -kan + (<all>),,
39933.2,x,,<halusk> + -an,bentukan,[38] [S] -an + (<all>),,
,,,,,,,
39934,v,27,halusnya,dasar,,,
39934.1,v,,<halus> + -nya,bentukan,[34] [SFS] -nya + (<all>),,
,,,,,,,
39935,k,0,halwa,dasar,,,
,,,,,,,
39936,k,0,halwa mata,dasar,,,
,,,,,,,
39937,k,0,halwa nikmat,dasar,,,
,,,,,,,
39938,k,0,halwa telinga,dasar,,,
,,,,,,,
39939,k,808,ham,dasar,,,
,,,,,,,
39940,k,256,hama,dasar,,,
,,,,,,,
39941,k,0,hama putih,dasar,,,
,,,,,,,
39942,k,0,hama utama,dasar,,,
,,,,,,,
39943,v,4,hama-hama,dasar,,,
39943.1,v,,<hama> [-] <r>,bentukan,[23] [RD] |,,
,,,,,,,
39944,k,3,hamada,dasar,,,
,,,,,,,
39945,k,0,hamal,dasar,,,
,,,,,,,
39946,k,0,hamam,dasar,,,
,,,,,,,
39947,v,3,hamanya,dasar,,,
39947.1,v,,<hama> + -nya,bentukan,[34] [SFS] -nya + (<all>),,
,,,,,,,
39948,k,0,hamartofobia,dasar,,,
39948.1,x,,<hamarto> + -fobia,bentukan,[107] [S] -fobia + (<all>),,
,,,,,,,
39949,k,0,hamatum,dasar,,,
,,,,,,,
39950,k,152,hamba,dasar,,,
,,,,,,,
39951,k,0,hamba (orang) tebusan,dasar,,,
39951.1,x,,<hamba (orang) tebus> + -an,bentukan,[38] [S] -an + (<all>),,
,,,,,,,
39952,k,0,hamba allah,dasar,,,
39952.1,x,,<hamba al> + -lah,bentukan,[31] [FS] -lah + (<all>),,
,,,,,,,
39953,k,0,hamba hukum,dasar,,,
,,,,,,,
39954,k,0,hamba nafsu,dasar,,,
,,,,,,,
39955,k,0,hamba raja,dasar,,,
,,,,,,,
39956,k,0,hamba sahaya,dasar,,,
,,,,,,,
39957,v,12,hamba-hamba,dasar,,,
39957.1,v,,<hamba> [-] <r>,bentukan,[23] [RD] |,,
,,,,,,,
39958,d,0,hamba-hamba-mu,dasar,,,
39958.1,v,,<hamba> [-] <r>,bentukan,[23] [RD] |,,
,,,,,,,
39959,d,0,hamba-hamba-nya,dasar,,,
39959.1,v,,<hamba> [-] <r>,bentukan,[23] [RD] |,,
,,,,,,,
39960,v,2,hamba-hambaku,dasar,,,
39960.1,x,,<hamba-hamba> + -ku,bentukan,[32] [SFS] -ku + (<all>),,
39960.2,v,,<hamba> [-] <r> + -ku,bentukan,[23] [RD] | => [32] [SFS] -ku + (<all>),,
,,,,,,,
39961,d,0,hamba-mu,dasar,,,
39961.1,v,,<hamba-> + -mu,bentukan,[33] [SFS] -mu + (<all>),,
,,,,,,,
39962,d,0,hamba-nya,dasar,,,
39962.1,v,,<hamba-> + -nya,bentukan,[34] [SFS] -nya + (<all>),,
,,,,,,,
39963,v,3,hambaku,dasar,,,
39963.1,v,,<hamba> + -ku,bentukan,[32] [SFS] -ku + (<all>),,
,,,,,,,
39964,k,32,hambali,dasar,,,
39964.1,x,,<hambal> + -i,bentukan,[28] [S] -i + (<all>),,
,,,,,,,
39965,k,86,hambar,dasar,,,
,,,,,,,
39966,v,3,hambarnya,dasar,,,
39966.1,v,,<hambar> + -nya,bentukan,[34] [SFS] -nya + (<all>),,
,,,,,,,
39967,k,60,hambat,dasar,,,
