Nomor,KP,Jumlah,Entri,Tipe,Pembentukan,,,,,,,
121906,k,0,tancap gas,dasar,,,,,,,,
,,,,,,,,,,,,
121907,k,0,tancapan,dasar,,,,,,,,
121907.1,v,,<tancap> + -an,bentukan,[38] [S] -an + (<all>),,,,,,,
,,,,,,,,,,,,
121908,v,12,tancapkan,dasar,,,,,,,,
121908.1,v,,<tancap> + -kan,bentukan,[29] [S] -kan + (<all>),,,,,,,
121908.2,x,,<tancapk> + -an,bentukan,[38] [S] -an + (<all>),,,,,,,
,,,,,,,,,,,,
121909,t,4,tancep,dasar,tancap,,,,,,,
,,,,,,,,,,,,
121910,k,2460,tanda,dasar,,,,,,,,
121910.1,x,,<ta> + [-anda:-nda],bentukan,[183] [S] -anda + (i;u;a;[k:]),,,,,,,
121910.2,x,,<tan> + [-anda:-da],bentukan,[184] [S] -anda + (an),,,,,,,
121910.3,x,,<t> + -anda,bentukan,[185] [S] -anda + (<others>),,,,,,,
,,,,,,,,,,,,
121911,k,0,tanda air,dasar,,,,,,,,
,,,,,,,,,,,,
121912,k,0,tanda alamiah,dasar,,,,,,,,
121912.1,x,,<tanda alam> + -iah,bentukan,[175] [S] -iah + (<others>),,,,,,,
,,,,,,,,,,,,
121913,k,0,tanda baca,dasar,,,,,,,,
,,,,,,,,,,,,
121914,k,0,tanda bagi,dasar,,,,,,,,
121914.1,x,,<tanda bag> + -i,bentukan,[28] [S] -i + (<all>),,,,,,,
,,,,,,,,,,,,
121915,k,0,tanda bakti,dasar,,,,,,,,
121915.1,x,,<tanda bakt> + -i,bentukan,[28] [S] -i + (<all>),,,,,,,
,,,,,,,,,,,,
121916,k,0,tanda beti,dasar,,,,,,,,
121916.1,x,,<tanda bet> + -i,bentukan,[28] [S] -i + (<all>),,,,,,,
,,,,,,,,,,,,
121917,k,0,tanda bukti,dasar,,,,,,,,
121917.1,x,,<tanda bukt> + -i,bentukan,[28] [S] -i + (<all>),,,,,,,
,,,,,,,,,,,,
121918,k,0,tanda diam,dasar,,,,,,,,
,,,,,,,,,,,,
121919,k,0,tanda dinamik,dasar,,,,,,,,
,,,,,,,,,,,,
121920,k,0,tanda gambar,dasar,,,,,,,,
,,,,,,,,,,,,
121921,k,0,tanda garis,dasar,,,,,,,,
121921.1,x,,<tanda gari> + [-is:-s],bentukan,[177] [S] -is + (i),,,,,,,
121921.2,x,,<tanda gar> + -is,bentukan,[178] [S] -is + (<others>),,,,,,,
,,,,,,,,,,,,
121922,k,0,tanda hayat,dasar,,,,,,,,
,,,,,,,,,,,,
121923,k,0,tanda hidup,dasar,,,,,,,,
,,,,,,,,,,,,
121924,k,0,tanda hubung,dasar,,,,,,,,
,,,,,,,,,,,,
121925,k,0,tanda jadi,dasar,,,,,,,,
121925.1,x,,<tanda jad> + -i,bentukan,[28] [S] -i + (<all>),,,,,,,
,,,,,,,,,,,,
121926,k,0,tanda kecakapan khusus,dasar,,,,,,,,
,,,,,,,,,,,,
121927,k,0,tanda kecakapan umum,dasar,,,,,,,,
,,,,,,,,,,,,
121928,k,0,tanda kesamaan,dasar,,,,,,,,
121928.1,x,,<tanda kesama> + -an,bentukan,[38] [S] -an + (<all>),,,,,,,
,,,,,,,,,,,,
121929,k,0,tanda koma,dasar,,,,,,,,
,,,,,,,,,,,,
121930,k,0,tanda koreksi,dasar,,,,,,,,
121930.1,x,,<tanda koreks> + -i,bentukan,[28] [S] -i + (<all>),,,,,,,
,,,,,,,,,,,,
121931,k,0,tanda kres,dasar,,,,,,,,
,,,,,,,,,,,,
121932,k,0,tanda kutip,dasar,,,,,,,,
,,,,,,,,,,,,
121933,k,0,tanda lahir,dasar,,,,,,,,
,,,,,,,,,,,,
121934,k,0,tanda mata,dasar,,,,,,,,
,,,,,,,,,,,,
121935,k,0,tanda mati,dasar,,,,,,,,
121935.1,x,,<tanda mat> + -i,bentukan,[28] [S] -i + (<all>),,,,,,,
,,,,,,,,,,,,
121936,k,0,tanda mol,dasar,,,,,,,,
,,,,,,,,,,,,
121937,k,0,tanda mula,dasar,,,,,,,,
,,,,,,,,,,,,
121938,k,0,tanda mula natural,dasar,,,,,,,,
,,,,,,,,,,,,
121939,k,0,tanda oktava,dasar,,,,,,,,
,,,,,,,,,,,,
121940,k,0,tanda opsi,dasar,,,,,,,,
121940.1,x,,<tanda ops> + -i,bentukan,[28] [S] -i + (<all>),,,,,,,
,,,,,,,,,,,,
121941,k,0,tanda pagar,dasar,,,,,,,,
,,,,,,,,,,,,
121942,k,0,tanda panah,dasar,,,,,,,,
,,,,,,,,,,,,
121943,k,0,tanda pangkat,dasar,,,,,,,,
,,,,,,,,,,,,
121944,k,0,tanda pasar,dasar,,,,,,,,
,,,,,,,,,,,,
121945,k,0,tanda pembayaran,dasar,,,,,,,,
121945.1,x,,<tanda pembayar> + -an,bentukan,[38] [S] -an + (<all>),,,,,,,
,,,,,,,,,,,,
121946,k,0,tanda penghargaan,dasar,,,,,,,,
121946.1,x,,<tanda pengharga> + -an,bentukan,[38] [S] -an + (<all>),,,,,,,
,,,,,,,,,,,,
121947,k,0,tanda penunjuk,dasar,,,,,,,,
,,,,,,,,,,,,
121948,k,0,tanda penyingkat,dasar,,,,,,,,
,,,,,,,,,,,,
121949,k,0,tanda peringatan,dasar,,,,,,,,
121949.1,x,,<tanda peringat> + -an,bentukan,[38] [S] -an + (<all>),,,,,,,
,,,,,,,,,,,,
121950,k,0,tanda petik,dasar,,,,,,,,
,,,,,,,,,,,,
121951,k,0,tanda petik tunggal,dasar,,,,,,,,
,,,,,,,,,,,,
121952,k,0,tanda pisah,dasar,,,,,,,,
,,,,,,,,,,,,
121953,k,0,tanda pundak,dasar,,,,,,,,
,,,,,,,,,,,,
121954,k,0,tanda putus,dasar,,,,,,,,
,,,,,,,,,,,,
121955,k,0,tanda rujuk silang,dasar,,,,,,,,
,,,,,,,,,,,,
121956,k,0,tanda salib,dasar,,,,,,,,
,,,,,,,,,,,,
121957,k,0,tanda sama (dengan),dasar,,,,,,,,
,,,,,,,,,,,,
