Nomor,KP,Jumlah,Entri,Tipe,Pembentukan,,,,
124516,k,0,teraba-raba,dasar,,,,,
124516.1,v,,[ter-:te-] + <raba> [-] <r>,bentukan,[20] ter- + (r) + (-kan;-i;-an) => [49] [RD] ter-|,,,,
,,,,,,,,,
124517,k,7,terabadikan,dasar,,,,,
124517.1,x,,[ter-:te-] + <rabadi> + -kan,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124517.2,x,,[ter-:te-] + <rabadik> + -an,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124517.3,x,,[ter-:te-] + <rabadikan>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124517.4,v,,ter- + <abadi> + -kan,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124517.5,x,,ter- + <abadik> + -an,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124517.6,x,,ter- + <abadikan>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124517.7,x,,<terabadi> + -kan,bentukan,[29] [S] -kan + (<all>),,,,
124517.8,x,,<terabadik> + -an,bentukan,[38] [S] -an + (<all>),,,,
,,,,,,,,,
124518,k,0,terabai,dasar,,,,,
124518.1,x,,[ter-:te-] + <raba> + -i,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124518.2,x,,[ter-:te-] + <rabai>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124518.3,x,,ter- + <aba> + -i,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124518.4,v,,ter- + <abai>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124518.5,x,,<teraba> + -i,bentukan,[28] [S] -i + (<all>),,,,
,,,,,,,,,
124519,k,146,terabaikan,dasar,,,,,
124519.1,x,,[ter-:te-] + <rabai> + -kan,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124519.2,x,,[ter-:te-] + <rabaik> + -an,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124519.3,x,,[ter-:te-] + <rabaikan>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124519.4,v,,ter- + <abai> + -kan,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124519.5,x,,ter- + <abaik> + -an,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124519.6,x,,ter- + <abaikan>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124519.7,x,,<terabai> + -kan,bentukan,[29] [S] -kan + (<all>),,,,
124519.8,x,,<terabaik> + -an,bentukan,[38] [S] -an + (<all>),,,,
,,,,,,,,,
